
################################
#Benchmark pattern info:
################################
./posixGlibcAIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Data:
################################
0.00000001, 1
1.46731050676e-05, 0.0191373457653
0.0000001, 1
1.56453514319e-05, 0.019244252147
0.0000002, 1
2.90479226383e-05, 0.0222516136319
0.0000004, 1
1.5935621625e-05, 0.0210723860836
0.0000006, 1
1.50359427892e-05, 0.016752819088
0.0000008, 1
1.81030295698e-05, 0.0209384067033
0.000001, 1
1.70257408413e-05, 0.019019543859
0.000002, 1
1.97079401384e-05, 0.023817335928
0.000004, 1
1.79402541794e-05, 0.0212075009398
0.000006, 1
1.8976247664e-05, 0.023034294432
0.000008, 1
2.52619714024e-05, 0.0220139303384
0.00001, 1
1.39398114248e-05, 0.0175338463424
0.00003, 1
1.65001259963e-05, 0.0207629049815
0.00006, 1
1.70028876816e-05, 0.0218246446628
0.00008, 1
1.6222285575e-05, 0.0224033821167
0.0003, 1
1.56858445343e-05, 0.0181111874588
0.0006, 1
1.2573052119e-05, 0.0172590049891
1, 1
0.000132257611631, 0.0853326499141
2, 1
0.000110583933417, 0.0920940388264
3, 1
7.88317620708e-05, 0.0680116115917
4, 1
0.000109067231993, 0.0942280115992
5, 1
0.000103562511132, 0.0852829404978
0.00000001, 2
1.40332262503e-05, 0.0182028489006
0.0000001, 2
1.55130452615e-05, 0.0188594877281
0.0000002, 2
1.55587507278e-05, 0.0202398518842
0.0000004, 2
5.38640644262e-05, 0.018054650727
0.0000006, 2
1.4233689593e-05, 0.0193734178932
0.0000008, 2
1.43375298794e-05, 0.0183545480451
0.000001, 2
2.12134171557e-05, 0.0185187218105
0.000002, 2
1.47103908765e-05, 0.0181669029394
0.000004, 2
1.19223497891e-05, 0.0183097283417
0.000006, 2
2.03422047488e-05, 0.018010374587
0.000008, 2
1.2867332633e-05, 0.0179313797611
0.00001, 2
1.58418054698e-05, 0.0183137726146
0.00003, 2
1.33580671162e-05, 0.0194155660649
0.00008, 2
1.44445763314e-05, 0.0181101008684
0.0001, 2
1.6208652523e-05, 0.0189056274882
0.0003, 2
2.44476905745e-05, 0.0180488096647
0.0008, 2
1.99248385072e-05, 0.0277513645471
1, 2
0.000127296950512, 0.103005241821
2, 2
0.000126668300143, 0.103713212426
3, 2
9.71725441383e-05, 0.0890562668265
4, 2
9.63322024883e-05, 0.090454093073
5, 2
0.000115738247108, 0.0901707166428
0.00000001, 3
1.14781217614e-05, 0.0157245962181
0.0000002, 3
1.26339926441e-05, 0.0196071559337
0.0000004, 3
1.43984703727e-05, 0.0184244423378
0.0000006, 3
2.34598072347e-05, 0.0176348903324
0.0000008, 3
1.21392497322e-05, 0.0169282687479
0.000001, 3
1.69126799672e-05, 0.0183758072013
0.000002, 3
1.33616749131e-05, 0.0193849677769
0.000004, 3
1.36928393812e-05, 0.0162529476996
0.000006, 3
1.29715731131e-05, 0.0163360136477
0.000008, 3
2.56440546709e-05, 0.0189420875088
0.00001, 3
1.48799826879e-05, 0.0177590604786
0.00006, 3
3.39496489068e-05, 0.034143423069
0.00008, 3
1.32189446559e-05, 0.0192194775239
0.0001, 3
1.51802768532e-05, 0.0172731151453
0.0003, 3
1.23918345208e-05, 0.0159178559001
0.0006, 3
1.61797862892e-05, 0.0182255076942
1, 3
0.000184627419908, 0.103612068753
2, 3
0.000112851973827, 0.0980350939738
3, 3
0.000117437772009, 0.0875883299304
4, 3
9.97476960184e-05, 0.0826018142795
5, 3
8.75278587458e-05, 0.0860140306026
0.00000001, 4
1.23008232811e-05, 0.0185014192817
0.0000001, 4
1.14656933879e-05, 0.0173651334234
0.0000002, 4
1.19616400056e-05, 0.0154407223922
0.0000004, 4
1.29607476946e-05, 0.0174745430761
0.0000006, 4
1.13253690728e-05, 0.0152916730511
0.0000008, 4
1.15482841722e-05, 0.0166866074965
0.000001, 4
1.54541096195e-05, 0.0202225916919
0.000002, 4
9.96983669149e-06, 0.0145094893892
0.000006, 4
3.07582719949e-05, 0.0255455090575
0.00003, 4
1.40636973962e-05, 0.0181663723671
0.00006, 4
1.18060801725e-05, 0.0147878637452
0.0001, 4
2.06637453856e-05, 0.0328642601388
0.0003, 4
1.53727211688e-05, 0.0177867154947
0.0006, 4
1.37654076669e-05, 0.0160521408111
0.0008, 4
1.25461905679e-05, 0.0176939022202
1, 4
0.00019876570708, 0.101232719804
2, 4
0.000116497597896, 0.10038094419
3, 4
0.000116510429364, 0.0817206917151
4, 4
0.000111523708137, 0.0854597798097
5, 4
8.44459366909e-05, 0.0769593110833
